File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\Filter.java,72,24,18,2,10,0,38,202,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\FilterDecorator.java,43,15,10,1,6,0,22,120,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\FilterDecoratorWithImage.java,35,14,10,1,6,0,15,40,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\GrayScaleFilter.java,81,45,22,5,11,0,25,143,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\NullFilter.java,36,13,8,1,5,0,18,100,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\filters\OutputFilterDecorator.java,68,31,22,2,11,0,26,198,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamCompletableFuture1.java,156,64,47,5,17,0,75,352,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamCompletableFuture2.java,209,82,59,8,23,0,104,512,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamCompletableFutureBase.java,55,23,16,2,7,0,25,120,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamGang.java,241,103,68,14,32,1,106,575,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamGangTest.java,287,128,78,20,41,0,118,531,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamParallel.java,105,42,29,4,10,0,53,267,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\ImageStreamSequential.java,119,49,32,7,14,0,56,260,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\streams\StreamGang.java,112,39,28,6,17,0,56,242,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\BlockingTask.java,163,67,44,6,21,0,75,303,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\ExceptionUtils.java,126,87,63,4,14,0,25,118,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\Image.java,194,67,49,6,26,0,101,377,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\NetUtils.java,109,46,32,7,17,0,46,232,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\Options.java,323,161,95,35,45,6,117,526,0,0
E:\UTAustin\BttFworkspace\ImageStreamGangApp\src\main\java\utils\StreamsUtils.java,96,33,23,5,11,0,52,229,0,0
